age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
18,0,2,5,2017-08-17,0,0,0,0,17,300.63,53005.25,17.0,781.75,1,1,0,3,-1,0
32,0,1,4,2017-08-28,0,0,0,1,16,306.34,12838.38,10.0,697.62,1,0,1,2,1,0
44,0,0,0,2016-11-11,1,0,0,0,14,516.16,21027.0,22.0,500.69,0,1,1,0,0,1
37,1,1,0,2016-10-29,1,0,0,1,11,53.27,25239.56,6.0,567.66,0,1,1,1,0,1
31,0,1,0,2017-09-12,0,1,1,1,20,113.13,24483.66,16.0,663.06,0,1,1,2,0,1
13,1,1,1,2016-01-08,0,0,0,0,23,433.62,13884.77,24.0,722.27,1,0,1,1,-1,0
21,1,0,1,2015-03-19,1,0,0,1,10,55.38,8982.5,28.0,756.21,1,0,1,0,-1,0
42,1,0,0,2016-07-12,0,1,2,2,19,429.11,44554.82,24.0,568.08,0,1,1,1,0,1
44,1,2,3,2016-12-14,0,2,1,2,15,191.07,18362.31,20.0,697.62,1,0,1,0,0,0
45,0,0,0,2016-11-30,0,0,0,0,10,97.31,19244.16,28.0,706.23,0,1,1,4,0,1
25,0,2,2,2016-05-22,1,0,2,0,14,570.23,35119.93,8.0,699.7,1,1,0,3,0,1
60,1,1,1,2016-01-13,0,0,1,0,14,55.53,41672.02,33.02434314,798.12,1,0,0,3,0,0
11,1,0,0,2015-01-31,0,1,1,2,13,41.09,44007.18,18.0,608.26,1,0,1,1,0,1
34,1,1,2,2016-12-07,1,0,1,2,10,89.76,21318.19,6.0,697.62,0,1,0,3,0,1
40,1,1,4,2016-11-19,0,2,0,2,20,100.59,14842.62,26.0,697.62,0,1,0,3,0,0
16,0,0,2,2017-07-09,0,1,1,2,-999,30.14,18792.31,7.0,141.5132013,1,0,1,1,0,1
57,0,1,0,2016-01-27,0,2,0,0,5,333.34,47241.32,8.0,697.62,1,1,1,0,0,1
11,1,0,3,2017-01-02,1,0,0,0,12,275.13,29072.86,26.0,733.97,1,0,0,3,0,0
39,1,0,0,2017-11-01,0,1,1,2,9,241.74,33170.16,6.0,551.11,1,0,1,4,-1,1
45,1,1,4,2016-02-03,0,2,0,1,14,31.15,66982.61,8.0,164.800769,1,0,1,1,-1,0
33,1,2,0,2015-12-03,0,2,0,0,15,49.86,44289.97,25.0,703.96,1,0,0,3,0,1
30,1,2,0,2016-07-29,1,0,1,1,21,30.37,49404.86,23.0,630.61,1,0,1,4,0,1
19,0,0,5,2017-01-22,0,0,0,1,15,483.03,52702.67,3.0,389.3564432,0,1,1,4,1,0
48,1,0,2,2017-11-10,1,2,1,2,12,72.52,15860.41,3.207385793,529.03,0,1,0,3,-1,0
43,1,1,0,2015-08-14,0,1,0,2,17,108.3,21725.57,21.0,225.0044276,0,1,0,3,0,1
29,0,0,3,2016-04-09,0,2,0,2,18,300.38,12069.06,7.0,777.31,0,1,0,3,0,0
10,1,1,1,2015-11-10,1,1,0,0,1,100.65,8515.5,6.0,757.7,1,0,0,3,-1,0
20,0,2,0,2016-12-08,0,0,0,0,22,272.31,42743.44,12.0,687.26,1,0,0,3,0,1
61,0,2,3,2017-05-14,0,0,0,2,17,-936.7448179,29156.1,10.0,710.38,1,0,1,4,-1,1
10,1,0,1,2016-01-12,0,1,0,0,4,127.37,15719.24,10.0,634.88,1,0,1,1,0,1
17,0,1,0,2015-11-25,0,2,0,2,20,162.93,31100.95,11.0,633.05,0,1,1,2,0,1
60,1,0,0,2016-11-02,1,2,0,2,18,498.09,48125.94,27.0,697.62,0,1,0,3,0,1
11,0,0,1,2016-07-28,1,2,0,0,10,185.53,60143.68,4.0,836.08,1,0,1,0,1,0
60,1,1,1,2017-07-02,1,0,2,2,11,537.25,1773.49,6.0,711.76,1,1,0,3,0,0
12,1,1,4,2015-03-02,0,1,0,0,8,198.26,26105.24,7.0,721.36,1,0,0,3,0,0
52,1,0,3,2015-10-08,0,0,1,0,9,119.47,10101.48,28.0,158.5477645,1,0,0,3,0,1
30,1,1,2,2016-10-13,1,0,1,1,15,68.19,21111.9,23.0,574.01,1,1,1,0,0,1
26,1,0,0,2017-11-29,1,2,0,0,3,215.89,41979.65,9.0,697.62,0,1,0,3,0,1
26,0,0,0,2017-07-01,1,2,0,0,20,194.85,5912.06,13.0,568.34,1,0,0,3,0,1
49,0,2,5,2017-06-09,1,1,2,2,8,706.36,19062.25,16.0,780.58,1,0,0,3,0,0
24,1,1,4,2016-10-10,0,2,0,2,15,210.44,35531.98,25.0,745.49,1,0,0,3,0,0
22,1,0,0,2017-06-02,1,2,0,0,4,-930.2078443,8415.63,17.0,650.44,0,1,1,0,0,1
33,0,0,4,2017-02-02,0,1,0,0,12,394.26,34697.85,19.0,752.3,1,0,1,4,0,0
17,1,1,5,2015-12-20,0,0,0,0,6,348.07,94100.72,4.0,824.95,1,1,0,3,1,0
36,1,2,3,2016-11-28,1,0,0,1,2,691.09,17989.46,16.0,697.62,0,1,1,2,-1,1
12,1,1,4,2017-02-13,0,2,0,1,8,33.09,55607.35,16.0,697.62,1,0,0,3,1,0
58,0,2,1,2017-11-09,0,2,1,1,11,30.78,48080.03,10.0,713.62,1,0,0,3,0,0
41,1,0,5,2016-11-20,0,2,2,2,13,282.87,27528.03,27.0,743.8,1,0,0,3,0,0
